,movie_id,imdb_id,title,imdb_rating,year,genre,director,cast,cover_url,plot,url
0,0,114709,Toy Story,8.3,1995,Animation | Adventure | Comedy | Family | Fantasy,John Lasseter,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Rayne|Penn Jillette|Jack Angel|Spencer Aste|Greg Berg|Lisa Bradley|Kendall Cunningham|Debi Derryberry|Cody Dorkin|Bill Farmer|Craig Good|Gregory Grudt|Danielle Judovits|Sam Lasseter|Brittany Levenbrown|Sherry Lynn|Scott McAfee|Mickie McGowan|Ryan O'Donohue|Jeff Pidgeon|Patrick Pinney|Phil Proctor|Jan Rabson|Joe Ranft|Andrew Stanton|Shane Sweet|Anthony Burch|John Lasseter,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX200_.jpg,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.",https://www.imdb.com/title/tt0114709
1,1,113228,Grumpier Old Men,6.6,1995,Comedy | Romance,Howard Deutch,Walter Matthau|Jack Lemmon|Sophia Loren|Ann-Margret|Burgess Meredith|Daryl Hannah|Kevin Pollak|Katie Sagona|Ann Morgan Guilbert|James Andelin|Marcus Klemp|Max Wright|Cheryl Hawker|Wayne A. Evenson|Allison Levine|John Patrick Martin|Adam Ward|Ryan Waldoch|James Cada|Jaclyn Ross|Kyle Christopherson|Jeffrey L. Smith|Geraldo Rivera|Warren Schueneman|Jack Mitsch|Sterling Robson|Gregory Schuneman|Denny Schusted|Michelle Johnston|Wallace Olson|Carl Johnson|Eugene Karels|Lawrence Grivna|Joel Edwards|Larissa Lowthorp|Johnny Luckett|Tammara Melloy|Shirley Stoler|Ryan Wotherspoon,https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX200_.jpg,"Things don't seem to change much in Wabasha County: Max and John are still fighting after 35 years, Grandpa still drinks, smokes, and chases women , and nobody's been able to catch the fabled ""Catfish Hunter"", a gigantic catfish that actually smiles at fishermen who try to snare it. Six months ago John married the new girl in town (Ariel), and people begin to suspect that Max might be missing something similar in his life. The only joy Max claims is left in his life is fishing, but that might change with the new owner of the bait shop.",https://www.imdb.com/title/tt0113228
2,2,113277,Heat,8.3,1995,Action | Crime | Drama,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora|Amy Brenneman|Ashley Judd|Mykelti Williamson|Wes Studi|Ted Levine|Dennis Haysbert|William Fichtner|Natalie Portman|Tom Noonan|Kevin Gage|Hank Azaria|Susan Traylor|Kim Staunton|Danny Trejo|Henry Rollins|Jerry Trimble|Martin Ferrero|Ricky Harris|Tone Loc|Begonya Plaza|Hazelle Goodman|Ray Buktenica|Jeremy Piven|Xander Berkeley|Rick Avery|Brad Baldridge|Andrew Camuccio|Brian Camuccio|Max Daniels|Vince Deadrick Jr.|Charles Duke|Thomas Elfmont|Kenny Endoso|Kimberly Flynn|Steven Ford|Farrah Forke|Hannes Fritsch|Amanda Graves|Emily Graves|Niki Haris|Ted Harvey|Patricia Healy|Paul Herman|Cindy Katz|Brian Libby|Bill McIntosh|Dan Martin|Rick Marzan|Terry Miller|Paul Moyer|Daniel O'Haco|Mario Roberts|Phillip Robinson|Thomas Rosales Jr.|Rainelle Saunders|Kai Soremekun|Rey Verdugo|Wendy L. Walsh|Yvonne Zima|Anthony Backman|Monica Lee Bellais|Peter Blackwell|Trevor Coppola|Bud Cort|Michele Edison|Annette Goodman|Mick Gould|Mary Kircher|David Koseruba|Darin Mangan|Melissa S. Markess|Andre McCoy|Darren Melton|Robert Miranda|Kathryn Mullen|Manny Perry|Jimmy N. Roberts|Iva Franks Singer|Jimmy Star|Gloria Straube|Viviane Vives|Tim Werner,https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX200_.jpg,"Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending....",https://www.imdb.com/title/tt0113277
3,3,114369,Se7en,8.6,1995,Crime | Drama | Mystery | Thriller,David Fincher,Morgan Freeman|Andrew Kevin Walker|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow|John Cassini|Bob Mack|Peter Crombie|Reg E. Cathey|R. Lee Ermey|George Christy|Endre Hules|Hawthorne James|William Davidson|Bob Collins|Jimmy Dale Hartsell|Richard Roundtree|Charline Su|Dominique Jennings|Allan Kolman|Beverly Burke|Gene Borkan|Julie Araskog|Mario Di Donato|Alfonso Freeman|John C. McGinley|Harrison White|Bob Stephenson|Michael Reid MacKay|Kevin Spacey|Richard Portnow|Tudor Sherrard|Mark Boone Junior|Pamala Tyson|Lennie Loftin|Sarah Reinhardt|Emily Wagner|Martin Serene|Michael Massee|David Correia|Ron Blair|Jennifer Mueller|Leland Orser|Lexie Bigham|Evan Mirand|Paul Eckstein|Harris Savides|Rachel Flanagan|Heidi Schanz|Brian Evers|Shannon Wilcox|Richard Schiff|James Deeth|John Santin|Charles A. Tamburro|Richmond Arquette|Duffy Gaver|Charles S. Dutton|Gregory Fennell|Pui Fan Lee|Arthur Max|Gorja Max,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX200_.jpg,"A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...",https://www.imdb.com/title/tt0114369
4,4,114814,The Usual Suspects,8.5,1995,Crime | Drama | Mystery | Thriller,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Suzy Amis|Giancarlo Esposito|Dan Hedaya|Paul Bartel|Carl Bressler|Phillipe Simon|Jack Shearer|Christine Estabrook|Clark Gregg|Morgan Hunter|Ken Daly|Michelle Clunie|Louis Lombardi|Frank Medrano|Ron Gilbert|Vito D'Ambrosio|Gene Lythgow|Bob Elmore|David Powledge|Bob Pennetta|Billy Bates|Smadar Hanson|Castulo Guerra|Peter Rocca|Bert Williams|Jaime H. Campos|John Gillespie|Johnathan Gorman|Peter Greene|Michael McKay|Christopher McQuarrie|Ralph Moratz|Scott B. Morgan|Mike Nyman|Grace Sinden,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX200_.jpg,"Following a truck hijack in New York, five criminals are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze?",https://www.imdb.com/title/tt0114814
5,5,116367,From Dusk Till Dawn,7.2,1996,Action | Crime | Horror,Robert Rodriguez,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu|Salma Hayek|Cheech Marin|Danny Trejo|Tom Savini|Fred Williamson|Michael Parks|Brenda Hillhouse|John Saxon|Marc Lawrence|Kelly Preston|John Hawkes|Tito Larriva|Peter Atanasoff|Johnny 'Vatos' Hernandez|Aimee Graham|Heidi McNeal|Ernest M. Garcia|Greg Nicotero|Cristos|Mike Moroff|Michelle Berube-Schneider|Neena Bidasha|Veena Bidasha|Ungela Brockman|Madison Clark|María Díaz|Rosalia Hayakawa|Janine Jordae|Jacque Lawson|Houston Leigh|Janie Liszewski|Tia Texada|John Paul Fedele|Michael McKay|Jake McKinnon|Josh Patton|Walter Phelan|Wayne Toth|Henrik von Ryzin|Howard Berger|Amy Minda Cohen|Cecilia Montiel|Lyle Trachtenberg|Danny the Wonder Pony|Lawrence Bender|Carlo Corazon|Annette Harper|Rosine 'Ace' Hatem|Victoria Lucai|John Ponzio|Robert Rodriguez|Luke Ryan|D. Danny Warhol|Spice Williams-Crosby,https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX200_.jpg,"After a bank heist in Abilene with several casualties, the bank robber Seth Gecko and his psychopath and rapist brother Richard Gecko continue their crime spree in a convenience store in the middle of the desert while heading to Mexico with a hostage. They decide to stop for a while in a low-budget motel. Meanwhile the former minister Jacob Fuller is traveling on vacation with his son Scott and his daughter Kate in a RV. Jacob lost his faith after the death of his beloved wife in a car accident and quit his position of pastor of his community and stops for the night in the same motel Seth and Richard are lodged. When Seth sees the recreational vehicle, he abducts Jacob and his family to help his brother and him to cross the Mexico border, promising to release them on the next morning. They head to the truck drivers and bikers bar Titty Twister where Seth will meet with his partner Carlos in the dawn. When they are watching the dancer Santanico Pandemonium, Seth and Richard fight with three bodyguards. But soon they discover that the bar is a coven of vampires and they need to fight until dawn to leave the place alive.",https://www.imdb.com/title/tt0116367
6,6,115734,Bottle Rocket,6.9,1996,Comedy | Crime | Drama,Wes Anderson,Luke Wilson|Owen Wilson|Ned Dowd|Shea Fowler|Haley Miller|Robert Musgrave|Andrew Wilson|Brian Tenenbaum|Jenni Tooley|Temple Nash|Dipak Pallana|Darryl Cox|Stephen Dignan|Lumi Cavazos|Julie Mayfield|Don Phillips Jr.|Anna Cifuentes|Donny Caicedo|Melinda Renna|Richard Reyes|Julio Cesar Cedillo|Teddy Wilson|Jim Ponds|James Caan|Tak Kubota|Kumar Pallana|Haskell Craver|Jill Parker-Jones|Nena Smarz|Héctor García|Daniel R. Padgett|Russell Towery|Ben Loggins|Linn Mullin|Antonia Bogdanovich|Dan Burkarth|Lisa Cangelosi|Frank Crim|Christopher Dillard|Jordan Elliott|Gene Gallerano|Richard Phillips|Lisa Rotondi|Amanda Welles|Angus G. Wynne III,https://m.media-amazon.com/images/M/MV5BNzFlYWQxMjMtYTdmOC00NDA0LWI5NWQtNjc5OTc1ZDdkOGExXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX200_.jpg,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hare-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry. With the help of their pathetic neighbor and pal Bob, Anthony and Dignan pull a job and hit the road, where Anthony finds love with motel maid Inez. When our boys finally hook up with Mr. Henry, the ensuing escapade turns out to be far from what anyone expected.",https://www.imdb.com/title/tt0115734
7,7,112573,Braveheart,8.3,1995,Biography | Drama | History | War,Mel Gibson,James Robinson|Sean Lawlor|Sandy Nelson|James Cosmo|Sean McGinley|Alan Tall|Andrew Weir|Gerda Stevenson|Ralph Riach|Mhairi Calvey|Brian Cox|Patrick McGoohan|Peter Hanly|Sophie Marceau|Stephen Billington|Barry McGovern|Angus Macfadyen|John Kavanagh|Alun Armstrong|Mel Gibson|Catherine McCormack|Brendan Gleeson|Tommy Flanagan|Julie Austin|Alex Norton|Joanne Bett|Rupert Vansittart|Michael Byrne|Robert Paterson|Malcolm Tierney|William Scott-Masson|Dean Lopata|Tam White|Donal Gibson|Jeanne Marine|Martin Dunne|Fred Chiverton|Ian Bannen|Jimmy Chisholm|David O'Hara|John Murtagh|David McKay|Peter Mullan|Martin Murphy|Gerard McSorley|Bernard Horsfall|Richard Leaf|Daniel Coll|Niall O'Brien|Liam Carney|Bill Murdoch|Phil Kelly|Martin Dempsey|Jimmy Keogh|Joe Savino|David Gant|Mal Whyte|Paul Tucker|Stephen Austin-Skordiles|John Burns|Wayne Byrne|Paul Casson-Yardley|Jon Church-Fraser|Trevor Fehin|Graeme Ford|John Micheal Foulger|Declan Geraghty|Greg Jeloudov|Jimmy Keegan|Andrew Kybett|Alastair Thomson Mills|Arnold Montey|Rana Morrison|Jer O'Leary|Derek Pykett|Jaroslav Strba,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX200_.jpg,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.",https://www.imdb.com/title/tt0112573
8,8,114287,Rob Roy,6.9,1995,Adventure | Biography | Drama | History,Michael Caton-Jones,Liam Neeson|Jessica Lange|John Hurt|Tim Roth|Eric Stoltz|Andrew Keir|Brian Cox|Brian McCardie|Gilbert Martin|Vicki Masson|Gilly Gilchrist|Jason Flemyng|Ewan Stewart|David Hayman|Brian McArthur|David Brooks Palmer|Myra McFadyen|Karen Matheson|Shirley Henderson|John Murtagh|Bill Gardiner|Valentine Nwanze|Richard Bonehill|Alan Brown|Andrew Kybett|Peter MacArthur|Allan Sutherland|Alice Williams,https://m.media-amazon.com/images/M/MV5BMjE2NTU2ODI0MV5BMl5BanBnXkFtZTcwNTIwODU2NA@@._V1_SX200_.jpg,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honor.",https://www.imdb.com/title/tt0114287
9,9,112851,Desperado,7.1,1995,Action | Crime | Thriller | Western,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida|Cheech Marin|Steve Buscemi|Carlos Gómez|Quentin Tarantino|Tito Larriva|Angel Aviles|Danny Trejo|Abraham Verduzco|Carlos Gallardo|Albert Michel Jr.|David Alvarado|Angela Lanza|Mike Moroff|Robert Arevalo|Gerardo Moscoso|Peter Marquardt|Consuelo Gómez|Jaime de Hoyos|Cristos|Richie Gaona|Mark Duke Dalton|Tommy Nix|Patricia Vonne|Elizabeth Rodriguez|Enrique Iglesias|Reinol Martinez|Diego Sandoval,https://m.media-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX200_.jpg,"Director Robert Rodriguez picks up where his successful independent debut El Mariachi left off with this slam-bang South of the Border action saga. Bucho (Joaquim DeAlmeida) is a wealthy but casually bloodthirsty drug kingpin who rules a seedy Mexican border town. Bucho and his men make the mistake of angering El Mariachi (Antonio Banderas), a former musician who now carries an arsenal in his guitar case. Bucho was responsible for the death of El Mariachi's girlfriend and put a bullet through his fretting hand, making him unable to play the guitar. Bent on revenge, the musician-turned-killing machine arrives in town to put Bucho out of business, though he finds few allies except for Carolina (Salma Hayek), who runs a bookstore that doesn't seem to attract many readers. Desperado features supporting performances from Cheech Marin as a cynical bartender, Steve Buscemi as the cantina patron who sets up the story, and Quentin Tarantino as a man with a really terrible joke to tell.",https://www.imdb.com/title/tt0112851
