movie_id,title,genres,rating
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9209302325581397
1,Grumpier Old Men (1995),Comedy|Romance,3.2596153846153846
2,Heat (1995),Action|Crime|Thriller,3.946078431372549
3,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,3.9753694581280787
4,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.237745098039215
5,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.5090909090909093
6,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.782608695652174
7,Braveheart (1995),Action|Drama|War,4.031645569620253
8,Rob Roy (1995),Action|Drama|Romance|War,3.5454545454545454
9,Desperado (1995),Action|Romance|Western,3.5606060606060606
10,Billy Madison (1995),Comedy,3.326530612244898
11,Clerks (1994),Comedy,3.855769230769231
12,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,3.0601503759398496
13,Ed Wood (1994),Comedy|Drama,3.6785714285714284
14,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.231075697211155
15,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.197068403908795
16,Stargate (1994),Action|Adventure|Sci-Fi,3.375
17,Tommy Boy (1995),Comedy,3.78
18,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,3.6045454545454545
19,Forrest Gump (1994),Comedy|Drama|Romance|War,4.164133738601824
20,"Jungle Book, The (1994)",Adventure|Children|Romance,3.5294117647058822
21,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,3.1847133757961785
22,Dazed and Confused (1993),Comedy,3.9285714285714284
23,"Fugitive, The (1993)",Thriller,3.9921052631578946
24,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,3.75
25,Mrs. Doubtfire (1993),Comedy|Drama,3.388888888888889
26,Schindler's List (1993),Drama|War,4.225
27,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,3.317073170731707
28,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,3.262295081967213
29,Tombstone (1993),Action|Drama|Western,3.8153846153846156
30,Dances with Wolves (1990),Adventure|Drama|Western,3.8353658536585367
31,Batman (1989),Action|Crime|Thriller,3.4285714285714284
